"order_date","customer_id","product_id","brand","quantity","item_price"
"2019-10-17",14004,"P1910","BRAND_J",10,740000
"2019-10-24",17220,"P2934","BRAND_R",2,604000
"2019-11-03",16518,"P0908","BRAND_C",8,1045000
"2019-08-19",16364,"P0128","BRAND_A",4,205000
"2019-10-16",15696,"P2968","BRAND_R",2,4475000
"2019-07-16",12748,"P0710","BRAND_C",4,520000
"2019-11-04",16791,"P0860","BRAND_C",1,1465000
"2019-09-26",13069,"P3342","BRAND_S",2,205000
"2019-12-30",16873,"P3203","BRAND_S",32,450000
"2019-11-24",14723,"P1701","BRAND_H",2,149000
"2019-08-19",13814,"P2864","BRAND_R",6,1045000
"2019-09-19",17841,"P1798","BRAND_H",1,604000
"2019-10-29",13895,"P2074","BRAND_L",3,2200000
"2019-10-21",16999,"P2521","BRAND_P",4,1745000
"2019-12-18",17422,"P0122","BRAND_A",12,695000
"2019-08-05",14552,"P3482","BRAND_S",1,904000
"2019-07-04",13397,"P1902","BRAND_J",10,740000
"2019-11-11",14096,"P2022","BRAND_L",1,1748000
"2019-07-07",15291,"P0931","BRAND_C",4,1395000
"2019-12-13",13880,"P2853","BRAND_R",6,740000
"2019-09-11",15786,"P3273","BRAND_S",12,520000
"2019-10-31",14738,"P4080","BRAND_W",24,113000
"2019-07-10",17651,"P1899","BRAND_J",10,740000
"2019-10-17",12930,"P1741","BRAND_H",6,1045000
"2019-10-07",14110,"P0817","BRAND_C",12,520000
"2019-07-04",15738,"P3409","BRAND_S",12,310000
"2019-10-15",17450,"P3958","BRAND_W",96,607000
"2019-11-26",16360,"P1879","BRAND_J",1,219000
"2019-11-19",15856,"P0456","BRAND_B",10,149000
"2019-11-22",15028,"P3194","BRAND_S",18,1150000
"2019-07-25",16316,"P2560","BRAND_P",36,79000
"2019-11-01",13689,"P1900","BRAND_J",100,639000
"2019-10-22",13979,"P3592","BRAND_S",3,1745000
"2019-09-09",13621,"P2789","BRAND_P",100,26000
"2019-12-02",15719,"P1892","BRAND_J",4,740000
"2019-12-29",13521,"P3344","BRAND_S",2,520000
"2019-11-12",16940,"P4064","BRAND_W",4,303000
"2019-10-01",14360,"P2977","BRAND_R",4,1325000
"2019-12-19",17096,"P3285","BRAND_S",4,1325000
"2019-11-11",17757,"P0491","BRAND_B",3,450000
"2019-11-11",16729,"P2102","BRAND_L",10,590000
"2019-08-18",15506,"P2411","BRAND_P",1,113000
"2019-09-05",13985,"P3588","BRAND_S",12,695000
"2019-11-14",14527,"P2598","BRAND_P",3,695000
"2019-11-21",15144,"P1802","BRAND_H",8,1745000
"2019-10-22",13514,"P4075","BRAND_W",12,1045000
"2019-12-03",17160,"P3045","BRAND_R",12,450000
"2019-10-25",18041,"P1772","BRAND_H",1,240000
"2019-12-10",17231,"P3537","BRAND_S",2,1745000
"2019-07-05",17797,"P1983","BRAND_L",1,2900000
"2019-12-10",14725,"P0737","BRAND_C",10,310000
"2019-12-05",14096,"P0790","BRAND_C",1,1164000
"2019-12-29",17936,"P0794","BRAND_C",12,159000
"2019-10-31",12923,"P0171","BRAND_A",1,1325000
"2019-10-10",18259,"P0232","BRAND_A",12,450000
"2019-10-22",13016,"P0303","BRAND_B",6,1045000
"2019-10-16",16358,"P0623","BRAND_B",10,695000
"2019-12-12",14034,"P0170","BRAND_A",1,1325000
"2019-10-08",15343,"P0061","BRAND_A",2,3144000
"2019-11-29",15453,"P1746","BRAND_H",2,289000
"2019-10-11",18055,"P0002","BRAND_A",4,904000
"2019-07-16",15507,"P1771","BRAND_H",5,240000
"2019-09-06",15249,"P2094","BRAND_L",20,590000
"2019-12-26",16496,"P2770","BRAND_P",12,747000
"2019-12-11",13297,"P1686","BRAND_H",72,376000
"2019-10-23",14649,"P0898","BRAND_C",1,740000
"2019-11-27",15576,"P2447","BRAND_P",96,884000
"2019-10-03",17634,"P1786","BRAND_H",2,1745000
"2019-12-22",14093,"P1730","BRAND_H",1,450000
"2019-08-05",17340,"P0170","BRAND_A",4,1325000
"2019-08-13",17419,"P4017","BRAND_W",4,1325000
"2019-11-05",13517,"P1744","BRAND_H",4,1465000
"2019-10-06",15502,"P0588","BRAND_B",2,5945000
"2019-07-26",16317,"P3222","BRAND_S",2,2200000
"2019-08-11",14013,"P2555","BRAND_P",6,904000
"2019-09-25",12477,"P3077","BRAND_R",12,590000
"2019-10-08",16279,"P2794","BRAND_P",2,747000
"2019-12-17",16474,"P3591","BRAND_S",2,740000
"2019-10-27",16930,"P0735","BRAND_C",10,310000
"2019-09-22",16686,"P3008","BRAND_R",1,1745000
"2019-10-30",17511,"P3933","BRAND_W",12,2200000
"2019-12-04",15531,"P1674","BRAND_H",1,747000
"2019-12-27",13780,"P3589","BRAND_S",3,1465000
"2019-07-02",16081,"P1742","BRAND_H",12,590000
"2019-11-29",18022,"P0132","BRAND_A",1,205000
"2019-09-03",16053,"P0519","BRAND_B",8,310000
"2019-11-06",16753,"P0156","BRAND_A",1,2095000
"2019-11-01",17509,"P3128","BRAND_S",12,450000
"2019-12-06",15965,"P0122","BRAND_A",1,695000
"2019-12-29",17827,"P0098","BRAND_A",1,1325000
"2019-12-27",16426,"P0085","BRAND_A",2,450000
"2019-09-26",14298,"P2715","BRAND_P",24,904000
"2019-11-07",18160,"P3215","BRAND_S",6,1325000
"2019-12-26",14051,"P1681","BRAND_H",48,747000
"2019-08-16",15704,"P1891","BRAND_J",12,740000
"2019-08-02",13955,"P2906","BRAND_R",1,310000
"2019-10-04",15652,"P4017","BRAND_W",2,1325000
"2019-09-18",15059,"P1792","BRAND_H",1,1045000
"2019-07-25",13988,"P4009","BRAND_W",6,1045000
"2019-11-26",16729,"P2411","BRAND_P",24,149000
"2019-12-18",17841,"P2868","BRAND_R",1,904000
"2019-12-16",13167,"P4049","BRAND_W",4,747000
"2019-11-29",17084,"P2769","BRAND_P",6,450000
"2019-10-28",14096,"P3244","BRAND_S",1,873000
"2019-12-24",14191,"P2938","BRAND_R",10,450000
"2019-10-15",16464,"P2097","BRAND_L",1,590000
"2019-11-14",17571,"P0187","BRAND_A",1,4195000
"2019-10-07",15673,"P0125","BRAND_A",24,205000
"2019-08-12",17213,"P4075","BRAND_W",6,904000
"2019-08-08",17738,"P2410","BRAND_P",24,113000
"2019-08-29",13969,"P2877","BRAND_R",5,747000
"2019-09-15",14895,"P0238","BRAND_A",8,1745000
"2019-10-22",17576,"P1685","BRAND_H",2,747000
"2019-07-18",13319,"P2091","BRAND_L",10,590000
"2019-12-15",14159,"P2445","BRAND_P",1,205000
"2019-09-16",14505,"P2947","BRAND_R",1,2095000
"2019-09-25",12621,"P0114","BRAND_A",10,299000
"2019-10-20",15154,"P0536","BRAND_B",1,450000
"2019-10-27",15547,"P0071","BRAND_A",4,695000
"2019-08-04",16283,"P3583","BRAND_S",12,159000
"2019-10-27",15555,"P4057","BRAND_W",2,2445000
"2019-10-23",14978,"P0791","BRAND_C",2,1745000
"2019-10-06",15547,"P0792","BRAND_C",1,747000
"2019-12-15",18118,"P3481","BRAND_S",3,1745000
"2019-09-29",17050,"P3020","BRAND_R",10,590000
"2019-11-22",17730,"P2606","BRAND_P",12,450000
"2019-08-30",12517,"P3268","BRAND_S",12,450000
"2019-12-22",18156,"P0825","BRAND_C",1,450000
"2019-12-15",16931,"P0753","BRAND_C",3,1500000
"2019-11-29",17979,"P0712","BRAND_C",4,534000
"2019-12-31",17841,"P1876","BRAND_J",1,149000
"2019-07-11",12908,"P0263","BRAND_A",600,264000
"2019-07-18",15530,"P3194","BRAND_S",6,1150000
"2019-12-18",14032,"P2853","BRAND_R",48,639000
"2019-12-30",13001,"P0763","BRAND_C",4,1465000
"2019-10-28",17652,"P2521","BRAND_P",4,1745000
"2019-07-18",18283,"P0066","BRAND_A",1,747000
"2019-11-03",17811,"P2637","BRAND_P",1,450000
"2019-10-22",13555,"P0376","BRAND_B",18,1024000
"2019-08-19",12474,"P3588","BRAND_S",12,695000
"2019-11-17",16686,"P2996","BRAND_R",4,310000
"2019-07-04",15241,"P2942","BRAND_R",6,904000
"2019-12-16",16549,"P0733","BRAND_C",2,310000
"2019-12-30",18198,"P1768","BRAND_H",12,240000
"2019-12-08",15411,"P1780","BRAND_H",4,2200000
"2019-07-07",16794,"P1742","BRAND_H",4,590000
"2019-11-08",14592,"P3132","BRAND_S",1,1745000
"2019-08-28",13209,"P0268","BRAND_A",24,240000
"2019-12-11",16717,"P3250","BRAND_S",12,310000
"2019-07-14",15700,"P0525","BRAND_B",12,604000
"2019-08-12",16511,"P2871","BRAND_R",1,2900000
"2019-10-21",16778,"P3341","BRAND_S",24,205000
"2019-12-26",18122,"P3185","BRAND_S",2,240000
"2019-12-29",13521,"P0840","BRAND_C",2,310000
"2019-11-05",17888,"P0821","BRAND_C",12,310000
"2019-12-11",17377,"P1898","BRAND_J",7,740000
"2019-10-15",14859,"P2458","BRAND_P",8,604000
"2019-12-23",17806,"P3516","BRAND_S",29,310000
"2019-12-30",17218,"P2853","BRAND_R",12,740000
"2019-12-18",18283,"P2445","BRAND_P",1,205000
"2019-12-24",12748,"P1884","BRAND_J",10,740000
"2019-10-07",16984,"P3958","BRAND_W",6,520000
"2019-07-31",13418,"P0674","BRAND_C",12,159000
"2019-12-02",16242,"P2760","BRAND_P",6,590000
"2019-12-18",14049,"P2793","BRAND_P",6,747000
"2019-10-20",16931,"P0168","BRAND_A",1,1325000
"2019-12-22",17769,"P2793","BRAND_P",12,747000
"2019-11-26",17495,"P3309","BRAND_S",12,450000
"2019-11-15",16156,"P3217","BRAND_S",4,1325000
"2019-08-19",14796,"P2900","BRAND_R",1,1045000
"2019-12-08",16794,"P2865","BRAND_R",1,1045000
"2019-10-09",15845,"P0158","BRAND_A",36,240000
"2019-11-25",16633,"P2047","BRAND_L",4,1325000
"2019-12-17",17338,"P3250","BRAND_S",6,310000
"2019-09-11",17841,"P2086","BRAND_L",1,590000
"2019-10-01",12526,"P0310","BRAND_B",3,1745000
"2019-12-23",17346,"P3183","BRAND_S",2,240000
"2019-09-02",17870,"P3057","BRAND_R",5,3494000
"2019-07-14",17001,"P0314","BRAND_B",20,159000
"2019-11-17",14629,"P1805","BRAND_H",1,1500000
"2019-09-26",16187,"P1891","BRAND_J",20,740000
"2019-12-15",17841,"P3504","BRAND_S",8,159000
"2019-11-04",14096,"P2535","BRAND_P",2,1458000
